NAICS_Code,NAICS_Title,NAICS_Description,Hiscox_COB,Hiscox_COB,COB_Group,PL,GL,BOP,Cyber,full_industry_code
236210,Industrial Building Construction ,"Addition, alteration and renovation, industrial building (except warehouses)",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236210,Industrial Building Construction ,Industrial building (except warehouses) construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236210,Industrial Building Construction ,"Industrial building (except warehouses) construction, general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Addition, alteration and renovation, commercial and institutional building",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Addition, alteration and renovation, commercial warehouse",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Addition, alteration and renovation, general contractors, commercial and institutional building",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Addition, alteration and renovation, general contractors, commercial warehouse",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Addition, alteration and renovation, general contractors, hotel and motel",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Addition, alteration and renovation, general contractors, industrial warehouse",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Addition, alteration and renovation, hotel and motel",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Addition, alteration and renovation, industrial warehouse",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Administration building construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Animal shelter and clinic construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Athletic court, indoor, construction",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Auditorium construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Barber shop construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Beauty salon construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Broadcasting station construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
