Partner_Description,Hiscox_COB,full_industry_code
Charitable Organization,Charitable foundation,81321100_11203300_00000000
Charter Bus,OOA,0
Chicken Egg Production,OOA,0
Child Day Car Center (Not for Profit),OOA,0
Child Day Care Center (For Profit),OOA,0
Child Overnight Camps,OOA,0
Chimney Cleaning,Chimney construction & maintenance,23814000_47202100_02000000
Chiropractors,Chiropractor,62131000_29101100_00000000
Church Supplies Store,Church Supply Stores,42349000_11101100_00000000
Churches,OOA,0
Churches & other Houses of Worship,OOA,0
Citrus Groves,OOA,0
Civic Association (Non Profit),Civic non profit,81391000_11203300_02000000
Claims Adjusters: Independent or Public,Claims adjusting,52429100_13103100_00000000
Cleaning Exterior Building Surfaces,Exterior cleaning services,56179000_37201900_02000200
Clock Store,Clock Stores,44831000_11101100_00000001
Clothing Distributor – Infants & Childrens Wear,OOA,0
Clothing Distributor – Ladies & Girls,OOA,0
Clothing Distributor – Men’s & Boy’s Clothing,OOA,0
Clothing Store – Infants and Childrens,Children's & Infants Clothing Stores,44813000_11101100_00000000
Clothing Store – Maternity,Maternity Shops,44812000_11101100_00000001
Clothing Store – Mens & Boys,Men's Clothing Stores,44811000_11101100_00000000
Clothing Store – Sports,Sports Apparel & Accessories Stores,44819000_11101100_00000005
Clothing Store – Uniform,Uniform Stores,44819000_11101100_00000006
Clothing Store – Womens and Girls,Women's Clothing Stores,44812000_11101100_00000002
"Clowns, Magicians, Entertainers (Excluding Bands)",Artists,71151000_27101000_00000000
"Club – Country, Golf, Fishing or Yacht",OOA,0
"Club – Tennis, Racquetball, Handball (Indoor)",OOA,0
"Clubs – Civic, Service or Social – No Owned or Leased Building except Offices Purposes",OOA,0
"Clubs – Civic, Service or Social – Owned or Leased Building",OOA,0
Coastal and Great Lakes Transportation,OOA,0
Coffee & Tea Supplies Distributor,OOA,0
Coffee & Tea Supplies Store,Coffee & Tea Stores,44529900_11101100_00000004
Coffee Shop,Coffee shops,72251500_11101100_03000000
"Coin, Stamp / Rare Book Dealers",Used Merchandise Stores,45331000_11101100_00000000
Collection Agencies,OOA,0
"Colleges, Universities and Professional Schools",OOA,0
"Commercial Air, Rail, Water Transportation Equipment Rental and Leasing",OOA,0
Commercial Art School,OOA,0
Commercial Printing,Commercial Printing - Lithography,32311100_51511200_01000000
Commodity Brokers,Stock brokering,52312000_41303100_00000000
Communication / Computer Cabling – Installation,Cabling installation,23821000_49905200_01000000
Community Centers / Youth Centers,OOA,0
Commuter Rail Systems,OOA,0
Compliance Consultant,Business consulting,54161100_13111100_01000000
Computer and Electronic Equipment Distributor,OOA,0
Computer and Electronic Software Distributor,OOA,0
Computer Consulting,IT consulting,54169000_15129900_00000000
Computer Hardware Installation / Repair,Computer & Office Equip Repair & Maintenance,81121200_49201100_01000000
Computer Operator & Data Processing School,OOA,0
Computer Repair Training School,OOA,0
Computer Retail Store,Appliance/electronic stores,44314100_11101100_00000001
Computer Software Training School,OOA,0
Concrete Contractor,Concrete contractor,23839000_47205100_00000000
Consumer Electronics Repair,Electronics (consumer) install & repair,81121100_49909900_00010000
Continuing Education Programs,"Training (business, vocational or life skills)",61169900_13115100_01000000
Contractors Mobile Equipment Dealer,OOA,0
Control Systems Integration / Automation,Control systems integration/automation,54151200_51916200_00000000
Convenience Store (With Gasoline Sales),OOA,0
Convenience Store (No Gasoline Sales),OOA,0
Convention and Trade Show Organizers,OOA,0
Cookie Shop,Bakery shops,72251300_51301100_00000000
Cooking School,OOA,0
Corporate Trainer,"Training (business, vocational or life skills)",61169900_13115100_01000000
Correctional Institutions,OOA,0
Correspondence School,"Training (business, vocational or life skills)",61169900_13115100_01000000
"Cosmetic Sales (Avon, Mary Kay, etc)",OOA,0
Cosmetics & Toiletries Distributor,OOA,0
Cotton Ginning,OOA,0
Counseling & Referral Services (Not for Profit),Mental health counseling,62133000_21101400_00000000
"Courier (legal documents, packages, etc)",Delivery service providers,49221000_11101100_00000000
Court Reporters,Court reporting,56149200_27309200_00000000
Court Reporting School,OOA,0
Courtesy Shuttle,OOA,0
Courts,OOA,0
Craft / Hobby Supplies Distributor,OOA,0
